test,rad,sortdeg1.lsR
anna.col,1,11
david.col,1,11
DSJC125.1.col,1,9
games120.col,1,10
huck.col,1,11
jean.col,1,10
miles250.col,1,8
myciel2.col,1,3
myciel3.col,1,4
myciel4.col,1,6
myciel5.col,1,9
myciel6.col,1,13
queen5_5.col,1,13
queen5_5_simple.col,1,13
queen6_6.col,1,16
queen7_7.col,1,19
queen8_8.col,1,22
anna.col,2,15
david.col,2,16
DSJC125.1.col,2,41
games120.col,2,27
huck.col,2,12
jean.col,2,14
miles250.col,2,14
myciel2.col,2,4
myciel3.col,2,7
myciel4.col,2,11
myciel5.col,2,21
myciel6.col,2,36
queen5_5.col,2,21
queen5_5_simple.col,2,21
queen6_6.col,2,30
queen7_7.col,2,42
queen8_8.col,2,55
anna.col,3,20
david.col,3,19
DSJC125.1.col,3,71
games120.col,3,53
huck.col,3,15
jean.col,3,18
miles250.col,3,19
myciel2.col,3,4
myciel3.col,3,7
myciel4.col,3,13
myciel5.col,3,23
myciel6.col,3,41
queen5_5.col,3,22
queen5_5_simple.col,3,22
queen6_6.col,3,31
queen7_7.col,3,43
queen8_8.col,3,57
anna.col,4,21
david.col,4,21
DSJC125.1.col,4,82
games120.col,4,68
huck.col,4,15
jean.col,4,19
miles250.col,4,23
myciel2.col,4,4
myciel3.col,4,7
myciel4.col,4,13
myciel5.col,4,24
myciel6.col,4,41
queen5_5.col,4,21
queen5_5_simple.col,4,22
queen6_6.col,4,32
queen7_7.col,4,44
queen8_8.col,4,57
anna.col,5,23
david.col,5,24
DSJC125.1.col,5,84
games120.col,5,71
huck.col,5,15
jean.col,5,19
miles250.col,5,26
myciel2.col,5,4
myciel3.col,5,7
myciel4.col,5,13
myciel5.col,5,26
myciel6.col,5,41
queen5_5.col,5,21
queen5_5_simple.col,5,22
queen6_6.col,5,32
queen7_7.col,5,44
queen8_8.col,5,58
